id,county,20-Mar,21-Mar,,,,
36001,Albany,61,88,,,,
36003,Allegany,2,2,,,,
36005,Bronx,0,0,,,,
36007,Broome,2,2,,,,
36009,Cattaraugus,0,0,,,,
36011,Cayuga,0,0,,,,
36013,Chautauqua,0,0,,,,
36015,Chemung,0,0,,,,
36017,Chenango,2,2,,,,
36019,Clinton,2,4,,,,
36021,Columbia,1,2,,,,
36023,Cortland,0,0,,,,
36025,Delaware,1,1,,,,
36027,Dutchess,36,49,,,,
36029,Erie,31,38,,,,
36031,Essex,1,2,,,,
36033,Franklin,0,0,,,,
36035,Fulton,1,1,,,,
36037,Genesee,1,1,,,,
36039,Greene,2,2,,,,
36041,Hamilton,2,2,,,,
36043,Herkimer,2,3,,,,
36045,Jefferson,1,1,,,,
36047,Kings,0,0,,,,
36049,Lewis,0,0,,,,
36051,Livingston,1,2,,,,
36053,Madison,0,0,,,,
36055,Monroe,32,42,,,,
36057,Montgomery,2,3,,,,
36059,Nassau,754,1234,,,,
36061,New York,4408,6211,,,,
36063,Niagara,3,4,,,,
36065,Oneida,2,4,,,,
36067,Onondaga,8,17,,,,
36069,Ontario,3,4,,,,
36071,Orange,84,163,,,,
36073,Orleans,0,0,,,,
36075,Oswego,0,0,,,,
36077,Otsego,0,0,,,,
36079,Putnam,7,22,,,,
36081,Queens,0,0,,,,
36083,Rensselaer,8,20,,,,
36085,Richmond,0,0,,,,
36087,Rockland,101,262,,,,
36089,St. Lawrence,0,0,,,,
36091,Saratoga,24,35,,,,
36093,Schenectady,21,32,,,,
36095,Schoharie,1,1,,,,
36097,Schuyler,0,0,,,,
36099,Seneca,0,0,,,,
36101,Steuben,0,2,,,,
36103,Suffolk,371,662,,,,
36105,Sullivan,8,12,,,,
36107,Tioga,1,1,,,,
36109,Tompkins,7,11,,,,
36111,Ulster,12,18,,,,
36113,Warren,1,1,,,,
36115,Washington,1,1,,,,
36117,Wayne,1,3,,,,
36119,Westchester,1091,1387,,,,
36121,Wyoming,2,2,,,,
36123,Yates,0,0,,,,
