id,county,Pop
36001,Albany,"303,833"
36003,Allegany,"48,943"
36005,Bronx,"1,386,657"
36007,Broome,"200,272"
36009,Cattaraugus,"80,229"
36011,Cayuga,"79,978"
36013,Chautauqua,"134,768"
36015,Chemung,"88,824"
36017,Chenango,"50,405"
36019,Clinton,"82,115"
36021,Columbia,"63,073"
36023,Cortland,"49,294"
36025,Delaware,"47,832"
36027,Dutchess,"297,577"
36029,Erie,"918,652"
36031,Essex,"39,302"
36033,Franklin,"51,579"
36035,Fulton,"55,526"
36037,Genesee,"60,082"
36039,Greene,"49,159"
36041,Hamilton,"4,831"
36043,Herkimer,"64,502"
36045,Jefferson,"116,582"
36047,Kings,"2,508,340"
36049,Lewis,"27,072"
36051,Livingston,"65,333"
36053,Madison,"73,439"
36055,Monroe,"744,389"
36057,Montgomery,"50,250"
36059,Nassau,"1,341,245"
36061,New york,"1,586,698"
36063,Niagara,"216,546"
36065,Oneida,"234,845"
36067,Onondaga,"467,204"
36069,Ontario,"108,116"
36071,Orange,"373,355"
36073,Orleans,"42,854"
36075,Oswego,"122,114"
36077,Otsego,"62,232"
36079,Putnam,"99,713"
36081,Queens,"2,233,841"
36083,Rensselaer,"159,428"
36085,Richmond,"469,363"
36087,Rockland,"312,183"
36091,Saratoga,"219,960"
36093,Schenectady,"154,889"
36095,Schoharie,"32,722"
36097,Schuyler,"18,330"
36099,Seneca,"35,199"
36089,St. Lawrence,"111,894"
36101,Steuben,"98,930"
36103,Suffolk,"1,494,434"
36105,Sullivan,"77,500"
36107,Tioga,"51,049"
36109,Tompkins,"101,620"
36111,Ulster,"182,435"
36113,Warren,"65,697"
36115,Washington,"63,288"
36117,Wayne,"93,753"
36119,Westchester,"950,541"
36121,Wyoming,"42,129"
36123,Yates,"25,338"
